id,numero_ticket,fecha_creacion,fecha_resolucion,categoria_id,tecnico_id,prioridad,estado,descripcion,mttr_horas
71,TKT-000071,2023-12-25T09:52:00,2023-12-29T15:52:00,4,2,Baja,Resuelto,Ticket de prueba #71,102
72,TKT-000072,2024-11-06T06:25:00,2024-11-08T01:25:00,5,7,Baja,Resuelto,Ticket de prueba #72,43
73,TKT-000073,2023-10-13T11:41:00,2023-10-16T05:41:00,7,6,Alta,Resuelto,Ticket de prueba #73,66
74,TKT-000074,2023-01-29T03:56:00,2023-01-30T13:56:00,3,5,Alta,Resuelto,Ticket de prueba #74,34
75,TKT-000075,2023-02-09T03:38:00,2023-02-11T11:38:00,6,6,Alta,Resuelto,Ticket de prueba #75,56
76,TKT-000076,2024-03-22T19:32:00,2024-03-23T10:32:00,7,5,Media,Resuelto,Ticket de prueba #76,15
77,TKT-000077,2023-09-18T01:45:00,2023-09-20T09:45:00,1,5,Media,Resuelto,Ticket de prueba #77,56
78,TKT-000078,2024-01-08T13:04:00,2024-01-12T03:04:00,6,5,Alta,Resuelto,Ticket de prueba #78,86
79,TKT-000079,2024-11-10T03:46:00,2024-11-14T23:46:00,5,5,Alta,Resuelto,Ticket de prueba #79,116
80,TKT-000080,2024-11-13T13:20:00,2024-11-15T17:20:00,5,5,Media,Resuelto,Ticket de prueba #80,52
81,TKT-000081,2023-07-16T13:42:00,2023-07-18T14:42:00,3,5,Alta,Resuelto,Ticket de prueba #81,49
82,TKT-000082,2024-02-20T17:53:00,2024-02-20T18:53:00,5,3,Media,Resuelto,Ticket de prueba #82,1
83,TKT-000083,2024-03-16T18:38:00,2024-03-20T06:38:00,6,4,Crítica,Resuelto,Ticket de prueba #83,84
84,TKT-000084,2024-03-28T21:13:00,2024-03-31T15:13:00,8,7,Media,Resuelto,Ticket de prueba #84,66
85,TKT-000085,2024-11-05T02:18:00,2024-11-07T20:18:00,10,3,Baja,Resuelto,Ticket de prueba #85,66
86,TKT-000086,2023-08-29T21:19:00,2023-08-31T02:19:00,4,2,Baja,Resuelto,Ticket de prueba #86,29
87,TKT-000087,2023-02-17T07:30:00,2023-02-20T14:30:00,2,4,Crítica,Resuelto,Ticket de prueba #87,79
88,TKT-000088,2024-10-06T18:12:00,2024-10-10T14:12:00,7,4,Crítica,Resuelto,Ticket de prueba #88,92
89,TKT-000089,2023-09-07T04:41:00,2023-09-10T21:41:00,1,7,Baja,Resuelto,Ticket de prueba #89,89
90,TKT-000090,2024-03-11T07:11:00,2024-03-15T14:11:00,9,4,Baja,Resuelto,Ticket de prueba #90,103
91,TKT-000091,2024-07-24T07:58:00,2024-07-28T20:58:00,2,4,Media,Resuelto,Ticket de prueba #91,109
92,TKT-000092,2024-04-20T21:33:00,2024-04-23T21:33:00,10,3,Crítica,Resuelto,Ticket de prueba #92,72
93,TKT-000093,2024-09-19T23:57:00,2024-09-22T16:57:00,7,7,Crítica,Resuelto,Ticket de prueba #93,65
94,TKT-000094,2023-06-12T23:55:00,2023-06-15T12:55:00,8,3,Media,Resuelto,Ticket de prueba #94,61
95,TKT-000095,2024-10-14T08:49:00,2024-10-18T12:49:00,9,4,Media,Resuelto,Ticket de prueba #95,100
96,TKT-000096,2023-10-09T14:04:00,2023-10-13T10:04:00,5,2,Alta,Resuelto,Ticket de prueba #96,92
97,TKT-000097,2023-12-10T10:57:00,2023-12-13T08:57:00,2,2,Media,Resuelto,Ticket de prueba #97,70
98,TKT-000098,2023-08-25T12:44:00,2023-08-26T08:44:00,4,1,Crítica,Resuelto,Ticket de prueba #98,20
99,TKT-000099,2024-02-22T10:34:00,2024-02-24T22:34:00,7,1,Media,Resuelto,Ticket de prueba #99,60
100,TKT-000100,2024-03-06T12:57:00,2024-03-10T15:57:00,10,6,Baja,Resuelto,Ticket de prueba #100,99
101,TKT-000101,2024-08-12T12:30:00,2024-08-12T13:30:00,6,3,Crítica,Resuelto,Ticket de prueba #101,1
102,TKT-000102,2024-03-05T17:47:00,2024-03-09T16:47:00,9,7,Media,Resuelto,Ticket de prueba #102,95
103,TKT-000103,2024-05-14T07:17:00,2024-05-16T15:17:00,8,1,Crítica,Resuelto,Ticket de prueba #103,56
104,TKT-000104,2023-12-11T21:43:00,2023-12-16T04:43:00,7,6,Media,Resuelto,Ticket de prueba #104,103
105,TKT-000105,2024-04-23T04:39:00,2024-04-26T01:39:00,1,4,Baja,Resuelto,Ticket de prueba #105,69
106,TKT-000106,2023-03-27T20:27:00,2023-03-28T14:27:00,8,2,Baja,Resuelto,Ticket de prueba #106,18
107,TKT-000107,2023-09-24T12:20:00,2023-09-25T16:20:00,8,3,Alta,Resuelto,Ticket de prueba #107,28
108,TKT-000108,2024-01-24T08:48:00,2024-01-28T19:48:00,7,3,Baja,Resuelto,Ticket de prueba #108,107
109,TKT-000109,2024-04-26T00:47:00,2024-04-28T22:47:00,1,3,Media,Resuelto,Ticket de prueba #109,70
110,TKT-000110,2024-10-27T02:49:00,2024-10-30T14:49:00,1,7,Baja,Resuelto,Ticket de prueba #110,84
111,TKT-000111,2023-09-11T06:53:00,2023-09-11T09:53:00,10,2,Media,Resuelto,Ticket de prueba #111,3
112,TKT-000112,2023-05-10T15:42:00,2023-05-11T06:42:00,10,2,Crítica,Resuelto,Ticket de prueba #112,15
113,TKT-000113,2024-12-17T08:49:00,2024-12-19T08:49:00,3,5,Baja,Resuelto,Ticket de prueba #113,48
114,TKT-000114,2023-06-17T09:06:00,2023-06-20T12:06:00,1,3,Crítica,Resuelto,Ticket de prueba #114,75
115,TKT-000115,2024-02-11T22:12:00,2024-02-12T08:12:00,10,6,Media,Resuelto,Ticket de prueba #115,10
116,TKT-000116,2023-04-15T22:49:00,2023-04-17T13:49:00,10,7,Baja,Resuelto,Ticket de prueba #116,39
117,TKT-000117,2024-08-02T01:22:00,2024-08-04T22:22:00,7,6,Alta,Resuelto,Ticket de prueba #117,69
118,TKT-000118,2023-03-12T16:41:00,2023-03-14T12:41:00,1,7,Crítica,Resuelto,Ticket de prueba #118,44
119,TKT-000119,2024-05-16T03:27:00,2024-05-18T02:27:00,8,6,Media,Resuelto,Ticket de prueba #119,47
120,TKT-000120,2024-03-21T05:46:00,2024-03-24T00:46:00,5,5,Crítica,Resuelto,Ticket de prueba #120,67
121,TKT-000121,2024-04-21T13:52:00,2024-04-25T11:52:00,10,3,Alta,Resuelto,Ticket de prueba #121,94
122,TKT-000122,2023-09-09T02:17:00,2023-09-13T19:17:00,8,2,Crítica,Resuelto,Ticket de prueba #122,113
123,TKT-000123,2024-08-06T19:42:00,2024-08-08T20:42:00,6,1,Crítica,Resuelto,Ticket de prueba #123,49
124,TKT-000124,2023-11-29T05:31:00,2023-11-30T09:31:00,6,7,Alta,Resuelto,Ticket de prueba #124,28
125,TKT-000125,2023-12-15T08:56:00,2023-12-18T13:56:00,5,5,Baja,Resuelto,Ticket de prueba #125,77
126,TKT-000126,2024-06-13T06:05:00,2024-06-14T13:05:00,7,4,Media,Resuelto,Ticket de prueba #126,31
127,TKT-000127,2024-12-08T15:41:00,2024-12-12T11:41:00,8,4,Baja,Resuelto,Ticket de prueba #127,92
128,TKT-000128,2023-04-06T09:14:00,2023-04-08T13:14:00,4,3,Alta,Resuelto,Ticket de prueba #128,52
129,TKT-000129,2024-04-29T17:33:00,2024-05-01T14:33:00,7,6,Alta,Resuelto,Ticket de prueba #129,45
130,TKT-000130,2023-12-27T22:29:00,2023-12-29T09:29:00,5,3,Media,Resuelto,Ticket de prueba #130,35
131,TKT-000131,2023-05-04T23:12:00,2023-05-06T16:12:00,2,6,Media,Resuelto,Ticket de prueba #131,41
132,TKT-000132,2023-07-16T06:47:00,2023-07-18T20:47:00,5,6,Alta,Resuelto,Ticket de prueba #132,62
133,TKT-000133,2023-04-13T06:18:00,2023-04-14T12:18:00,6,2,Alta,Resuelto,Ticket de prueba #133,30
134,TKT-000134,2023-01-15T22:34:00,2023-01-16T15:34:00,5,1,Baja,Resuelto,Ticket de prueba #134,17
135,TKT-000135,2024-07-20T09:44:00,2024-07-21T02:44:00,8,1,Baja,Resuelto,Ticket de prueba #135,17
136,TKT-000136,2024-08-10T09:30:00,2024-08-12T23:30:00,8,3,Media,Resuelto,Ticket de prueba #136,62
137,TKT-000137,2023-02-22T08:55:00,2023-02-24T22:55:00,2,7,Baja,Resuelto,Ticket de prueba #137,62
138,TKT-000138,2024-02-15T15:04:00,2024-02-18T17:04:00,1,2,Media,Resuelto,Ticket de prueba #138,74
139,TKT-000139,2024-07-30T09:05:00,2024-07-31T17:05:00,2,5,Crítica,Resuelto,Ticket de prueba #139,32
140,TKT-000140,2024-09-12T19:50:00,2024-09-16T03:50:00,4,7,Crítica,Resuelto,Ticket de prueba #140,80
141,TKT-000141,2024-04-06T14:19:00,2024-04-11T05:19:00,10,4,Alta,Resuelto,Ticket de prueba #141,111
142,TKT-000142,2024-08-05T19:03:00,2024-08-09T02:03:00,2,7,Media,Resuelto,Ticket de prueba #142,79
143,TKT-000143,2024-10-02T06:16:00,2024-10-05T19:16:00,2,2,Media,Resuelto,Ticket de prueba #143,85
144,TKT-000144,2023-06-27T17:04:00,2023-06-28T14:04:00,1,4,Crítica,Resuelto,Ticket de prueba #144,21
145,TKT-000145,2024-12-06T19:30:00,2024-12-08T09:30:00,1,2,Alta,Resuelto,Ticket de prueba #145,38
146,TKT-000146,2024-12-24T09:44:00,2024-12-29T00:44:00,8,1,Media,Resuelto,Ticket de prueba #146,111
147,TKT-000147,2023-09-28T20:37:00,2023-10-02T09:37:00,4,4,Baja,Resuelto,Ticket de prueba #147,85
148,TKT-000148,2024-07-11T07:41:00,2024-07-12T03:41:00,5,7,Media,Resuelto,Ticket de prueba #148,20
149,TKT-000149,2023-03-15T01:10:00,2023-03-19T07:10:00,5,5,Alta,Resuelto,Ticket de prueba #149,102
150,TKT-000150,2024-03-25T03:29:00,2024-03-28T20:29:00,5,6,Crítica,Resuelto,Ticket de prueba #150,89
151,TKT-000151,2023-10-06T16:34:00,2023-10-09T08:34:00,8,1,Baja,Resuelto,Ticket de prueba #151,64
152,TKT-000152,2024-03-18T23:20:00,2024-03-22T05:20:00,5,1,Baja,Resuelto,Ticket de prueba #152,78
153,TKT-000153,2023-08-23T21:53:00,2023-08-28T12:53:00,10,5,Baja,Resuelto,Ticket de prueba #153,111
154,TKT-000154,2024-11-19T08:36:00,2024-11-19T14:36:00,3,4,Crítica,Resuelto,Ticket de prueba #154,6
155,TKT-000155,2023-10-12T05:37:00,2023-10-14T13:37:00,8,1,Crítica,Resuelto,Ticket de prueba #155,56
156,TKT-000156,2023-12-23T13:21:00,2023-12-25T07:21:00,2,7,Media,Resuelto,Ticket de prueba #156,42
157,TKT-000157,2023-12-04T13:44:00,2023-12-07T05:44:00,5,6,Crítica,Resuelto,Ticket de prueba #157,64
158,TKT-000158,2024-07-17T01:29:00,2024-07-17T13:29:00,6,3,Alta,Resuelto,Ticket de prueba #158,12
159,TKT-000159,2023-04-29T12:55:00,2023-05-02T06:55:00,1,6,Crítica,Resuelto,Ticket de prueba #159,66
160,TKT-000160,2024-02-28T01:12:00,2024-03-01T20:12:00,6,5,Crítica,Resuelto,Ticket de prueba #160,67
161,TKT-000161,2024-10-02T14:48:00,2024-10-02T21:48:00,4,3,Media,Resuelto,Ticket de prueba #161,7
162,TKT-000162,2023-10-22T14:56:00,2023-10-26T08:56:00,8,1,Baja,Resuelto,Ticket de prueba #162,90
163,TKT-000163,2024-10-07T19:51:00,2024-10-09T02:51:00,3,3,Baja,Resuelto,Ticket de prueba #163,31
164,TKT-000164,2024-07-19T13:05:00,2024-07-20T18:05:00,2,4,Baja,Resuelto,Ticket de prueba #164,29
165,TKT-000165,2024-10-25T04:31:00,2024-10-30T04:31:00,5,5,Alta,Resuelto,Ticket de prueba #165,120
166,TKT-000166,2024-03-01T15:30:00,2024-03-02T23:30:00,8,5,Media,Resuelto,Ticket de prueba #166,32
167,TKT-000167,2024-01-28T06:58:00,2024-01-31T11:58:00,9,6,Media,Resuelto,Ticket de prueba #167,77
168,TKT-000168,2023-03-13T08:49:00,2023-03-17T14:49:00,7,3,Alta,Resuelto,Ticket de prueba #168,102
169,TKT-000169,2023-01-03T09:46:00,2023-01-05T00:46:00,10,5,Crítica,Resuelto,Ticket de prueba #169,39
170,TKT-000170,2023-06-02T14:34:00,2023-06-05T04:34:00,6,3,Crítica,Resuelto,Ticket de prueba #170,62
171,TKT-000171,2024-04-11T10:55:00,2024-04-12T11:55:00,4,5,Crítica,Resuelto,Ticket de prueba #171,25
172,TKT-000172,2023-08-28T13:02:00,2023-08-30T06:02:00,8,6,Crítica,Resuelto,Ticket de prueba #172,41
173,TKT-000173,2024-01-31T21:50:00,2024-02-05T07:50:00,3,4,Baja,Resuelto,Ticket de prueba #173,106
174,TKT-000174,2023-05-10T16:37:00,2023-05-12T11:37:00,2,7,Crítica,Resuelto,Ticket de prueba #174,43
175,TKT-000175,2023-04-13T16:58:00,2023-04-16T03:58:00,1,6,Media,Resuelto,Ticket de prueba #175,59
176,TKT-000176,2024-02-24T20:09:00,2024-02-25T06:09:00,8,7,Alta,Resuelto,Ticket de prueba #176,10
177,TKT-000177,2023-12-13T19:44:00,2023-12-15T22:44:00,2,7,Alta,Resuelto,Ticket de prueba #177,51
178,TKT-000178,2024-11-21T17:24:00,2024-11-23T10:24:00,8,7,Baja,Resuelto,Ticket de prueba #178,41
179,TKT-000179,2024-09-24T02:15:00,2024-09-27T11:15:00,5,2,Baja,Resuelto,Ticket de prueba #179,81
180,TKT-000180,2024-03-20T03:48:00,2024-03-23T13:48:00,2,4,Media,Resuelto,Ticket de prueba #180,82
181,TKT-000181,2024-12-11T09:57:00,2024-12-11T13:57:00,1,3,Baja,Resuelto,Ticket de prueba #181,4
182,TKT-000182,2023-10-28T11:23:00,2023-10-30T19:23:00,3,2,Crítica,Resuelto,Ticket de prueba #182,56
183,TKT-000183,2024-08-02T21:50:00,2024-08-03T21:50:00,3,2,Baja,Resuelto,Ticket de prueba #183,24
184,TKT-000184,2024-09-16T12:39:00,2024-09-20T04:39:00,4,4,Media,Resuelto,Ticket de prueba #184,88
185,TKT-000185,2023-08-26T14:40:00,2023-08-27T23:40:00,8,3,Baja,Resuelto,Ticket de prueba #185,33
186,TKT-000186,2024-04-21T09:43:00,2024-04-24T07:43:00,3,1,Crítica,Resuelto,Ticket de prueba #186,70
187,TKT-000187,2023-12-20T18:19:00,2023-12-24T04:19:00,7,6,Alta,Resuelto,Ticket de prueba #187,82
188,TKT-000188,2024-04-12T09:12:00,2024-04-14T11:12:00,8,1,Media,Resuelto,Ticket de prueba #188,50
189,TKT-000189,2024-01-26T18:22:00,2024-01-29T20:22:00,5,6,Alta,Resuelto,Ticket de prueba #189,74
190,TKT-000190,2023-01-23T21:25:00,2023-01-25T09:25:00,1,5,Baja,Resuelto,Ticket de prueba #190,36
191,TKT-000191,2024-09-12T23:31:00,2024-09-17T10:31:00,5,7,Media,Resuelto,Ticket de prueba #191,107
192,TKT-000192,2024-09-13T11:14:00,2024-09-16T21:14:00,4,5,Alta,Resuelto,Ticket de prueba #192,82
193,TKT-000193,2024-11-25T23:49:00,2024-11-29T12:49:00,3,6,Baja,Resuelto,Ticket de prueba #193,85
194,TKT-000194,2024-10-04T20:02:00,2024-10-06T12:02:00,8,1,Alta,Resuelto,Ticket de prueba #194,40
195,TKT-000195,2023-05-15T02:58:00,2023-05-16T16:58:00,6,6,Crítica,Resuelto,Ticket de prueba #195,38
196,TKT-000196,2023-06-29T06:08:00,2023-07-03T11:08:00,9,3,Alta,Resuelto,Ticket de prueba #196,101
197,TKT-000197,2023-06-18T08:58:00,2023-06-22T18:58:00,8,7,Alta,Resuelto,Ticket de prueba #197,106
198,TKT-000198,2023-12-13T03:29:00,2023-12-13T13:29:00,3,7,Media,Resuelto,Ticket de prueba #198,10
199,TKT-000199,2024-11-23T23:43:00,2024-11-26T02:43:00,9,3,Baja,Resuelto,Ticket de prueba #199,51
200,TKT-000200,2024-02-09T00:16:00,2024-02-11T21:16:00,2,4,Alta,Resuelto,Ticket de prueba #200,69
201,TKT-000201,2024-11-19T23:43:00,2024-11-21T09:43:00,10,4,Alta,Resuelto,Ticket de prueba #201,34
202,TKT-000202,2023-04-21T21:14:00,2023-04-24T10:14:00,1,5,Alta,Resuelto,Ticket de prueba #202,61
203,TKT-000203,2024-09-16T07:41:00,2024-09-16T16:41:00,8,6,Alta,Resuelto,Ticket de prueba #203,9
204,TKT-000204,2024-10-26T13:07:00,2024-10-27T07:07:00,1,1,Alta,Resuelto,Ticket de prueba #204,18
205,TKT-000205,2024-05-19T03:06:00,2024-05-20T10:06:00,9,2,Crítica,Resuelto,Ticket de prueba #205,31
206,TKT-000206,2024-04-09T11:42:00,2024-04-13T11:42:00,9,4,Media,Resuelto,Ticket de prueba #206,96
207,TKT-000207,2024-02-29T20:06:00,2024-03-05T07:06:00,8,5,Crítica,Resuelto,Ticket de prueba #207,107
208,TKT-000208,2023-10-14T01:44:00,2023-10-16T01:44:00,4,4,Crítica,Resuelto,Ticket de prueba #208,48
209,TKT-000209,2023-08-30T11:06:00,2023-09-03T03:06:00,6,5,Alta,Resuelto,Ticket de prueba #209,88
210,TKT-000210,2023-03-04T12:17:00,2023-03-05T13:17:00,2,7,Crítica,Resuelto,Ticket de prueba #210,25
211,TKT-000211,2023-04-04T21:13:00,2023-04-08T08:13:00,10,1,Baja,Resuelto,Ticket de prueba #211,83
212,TKT-000212,2023-12-08T07:08:00,2023-12-12T12:08:00,10,2,Baja,Resuelto,Ticket de prueba #212,101
213,TKT-000213,2024-07-21T06:37:00,2024-07-22T10:37:00,4,3,Media,Resuelto,Ticket de prueba #213,28
214,TKT-000214,2024-09-02T00:17:00,2024-09-06T14:17:00,3,2,Alta,Resuelto,Ticket de prueba #214,110
215,TKT-000215,2023-06-28T03:42:00,2023-07-02T18:42:00,1,2,Baja,Resuelto,Ticket de prueba #215,111
216,TKT-000216,2024-01-02T07:37:00,2024-01-04T01:37:00,1,2,Alta,Resuelto,Ticket de prueba #216,42
217,TKT-000217,2023-02-23T04:47:00,2023-02-25T10:47:00,9,1,Baja,Resuelto,Ticket de prueba #217,54
218,TKT-000218,2024-05-02T14:49:00,2024-05-04T13:49:00,9,5,Baja,Resuelto,Ticket de prueba #218,47
219,TKT-000219,2024-04-07T16:14:00,2024-04-10T23:14:00,1,6,Alta,Resuelto,Ticket de prueba #219,79
220,TKT-000220,2024-04-14T20:01:00,2024-04-15T04:01:00,8,7,Crítica,Resuelto,Ticket de prueba #220,8
221,TKT-000221,2024-03-12T21:06:00,2024-03-15T12:06:00,8,1,Baja,Resuelto,Ticket de prueba #221,63
222,TKT-000222,2023-11-26T19:09:00,2023-11-27T04:09:00,3,3,Alta,Resuelto,Ticket de prueba #222,9
223,TKT-000223,2024-01-26T19:33:00,2024-01-28T09:33:00,8,5,Crítica,Resuelto,Ticket de prueba #223,38
